initial_phase_difference, sync_required_time
2.422168, 1.460000
2.425310, 1.460000
2.428451, 1.460000
2.431593, 1.460000
2.434734, 1.450000
2.437876, 1.450000
2.441017, 1.450000
2.444159, 1.450000
2.447301, 1.450000
2.450442, 1.440000
2.453584, 1.440000
2.456725, 1.440000
2.459867, 1.440000
2.463009, 1.440000
2.466150, 1.440000
2.469292, 1.430000
2.472433, 1.430000
2.475575, 1.430000
2.478717, 1.430000
2.481858, 1.430000
2.485000, 1.420000
2.488141, 1.420000
2.491283, 1.420000
2.494425, 1.420000
2.497566, 1.420000
2.500708, 1.420000
2.503849, 1.410000
2.506991, 1.410000
2.510133, 1.410000
2.513274, 1.410000
2.516416, 1.410000
2.519557, 1.400000
2.522699, 1.400000
2.525840, 1.400000
2.528982, 1.400000
2.532124, 1.400000
2.535265, 1.390000
2.538407, 1.390000
2.541548, 1.390000
2.544690, 1.390000
2.547832, 1.390000
2.550973, 1.380000
2.554115, 1.380000
2.557256, 1.380000
2.560398, 1.380000
2.563540, 1.380000
2.566681, 1.370000
2.569823, 1.370000
2.572964, 1.370000
2.576106, 1.370000
2.579248, 1.370000
2.582389, 1.360000
2.585531, 1.360000
2.588672, 1.360000
2.591814, 1.360000
2.594956, 1.360000
2.598097, 1.350000
2.601239, 1.350000
2.604380, 1.350000
2.607522, 1.350000
2.610663, 1.350000
2.613805, 1.340000
2.616947, 1.340000
2.620088, 1.340000
2.623230, 1.340000
2.626371, 1.330000
2.629513, 1.330000
2.632655, 1.330000
2.635796, 1.330000
2.638938, 1.330000
2.642079, 1.320000
2.645221, 1.320000
2.648363, 1.320000
2.651504, 1.320000
2.654646, 1.310000
2.657787, 1.310000
2.660929, 1.310000
2.664071, 1.310000
2.667212, 1.300000
2.670354, 1.300000
2.673495, 1.300000
2.676637, 1.300000
2.679779, 1.290000
2.682920, 1.290000
2.686062, 1.290000
2.689203, 1.290000
2.692345, 1.280000
2.695486, 1.280000
2.698628, 1.280000
2.701770, 1.280000
2.704911, 1.270000
2.708053, 1.270000
2.711194, 1.270000
2.714336, 1.270000
2.717478, 1.260000
2.720619, 1.260000
2.723761, 1.260000
2.726902, 1.260000
2.730044, 1.250000
2.733186, 1.250000
2.736327, 1.250000
2.739469, 1.250000
2.742610, 1.240000
2.745752, 1.240000
2.748894, 1.240000
2.752035, 1.230000
2.755177, 1.230000
2.758318, 1.230000
2.761460, 1.230000
2.764602, 1.220000
2.767743, 1.220000
2.770885, 1.220000
2.774026, 1.210000
2.777168, 1.210000
2.780309, 1.210000
2.783451, 1.200000
2.786593, 1.200000
2.789734, 1.200000
2.792876, 1.200000
2.796017, 1.190000
2.799159, 1.190000
2.802301, 1.190000
2.805442, 1.180000
2.808584, 1.180000
2.811725, 1.180000
2.814867, 1.170000
2.818009, 1.170000
2.821150, 1.170000
2.824292, 1.160000
2.827433, 1.160000
2.830575, 1.160000
2.833717, 1.150000
2.836858, 1.150000
2.840000, 1.150000
2.843141, 1.140000
2.846283, 1.140000
2.849425, 1.130000
2.852566, 1.130000
2.855708, 1.130000
2.858849, 1.120000
2.861991, 1.120000
2.865133, 1.120000
2.868274, 1.110000
2.871416, 1.110000
2.874557, 1.100000
2.877699, 1.100000
2.880840, 1.100000
2.883982, 1.090000
2.887124, 1.090000
2.890265, 1.080000
2.893407, 1.080000
2.896548, 1.070000
2.899690, 1.070000
2.902832, 1.070000
2.905973, 1.060000
2.909115, 1.060000
2.912256, 1.050000
2.915398, 1.050000
2.918540, 1.040000
2.921681, 1.040000
2.924823, 1.030000
2.927964, 1.030000
2.931106, 1.020000
2.934248, 1.020000
2.937389, 1.010000
2.940531, 1.010000
2.943672, 1.000000
2.946814, 1.000000
2.949956, 0.990000
2.953097, 0.990000
2.956239, 0.980000
2.959380, 0.970000
2.962522, 0.970000
2.965663, 0.960000
2.968805, 0.960000
2.971947, 0.950000
2.975088, 0.940000
2.978230, 0.940000
2.981371, 0.930000
2.984513, 0.920000
2.987655, 0.920000
2.990796, 0.910000
2.993938, 0.900000
2.997079, 0.900000
3.000221, 0.890000
3.003363, 0.880000
3.006504, 0.870000
3.009646, 0.870000
3.012787, 0.860000
3.015929, 0.850000
3.019071, 0.840000
3.022212, 0.830000
3.025354, 0.820000
3.028495, 0.810000
3.031637, 0.800000
3.034779, 0.800000
3.037920, 0.790000
3.041062, 0.770000
3.044203, 0.760000
3.047345, 0.750000
3.050486, 0.740000
3.053628, 0.730000
3.056770, 0.720000
3.059911, 0.710000
3.063053, 0.690000
3.066194, 0.680000
3.069336, 0.660000
3.072478, 0.650000
3.075619, 0.630000
3.078761, 0.620000
3.081902, 0.600000
3.085044, 0.580000
3.088186, 0.560000
3.091327, 0.540000
3.094469, 0.520000
3.097610, 0.500000
3.100752, 0.470000
3.103894, 0.450000
3.107035, 0.420000
3.110177, 0.390000
3.113318, 0.350000
3.116460, 0.310000
3.119602, 0.270000
3.122743, 0.220000
3.125885, 0.160000
3.129026, 0.080000
3.132168, 0.000000
3.135309, 0.000000
3.138451, 0.000000
3.141593, 0.000000
