gamma, StableEquil_1, StableEquil_2, UnstableEquil_1, UnstableEquil_2
0.494, 0.000000, 3.147876, 0.006283, -1
0.495, 0.000000, 3.147876, 0.006283, -1
0.496, 0.000000, 3.147876, 0.006283, -1
0.497, 0.000000, 3.147876, 0.006283, -1
0.498, 0.000000, 3.147876, 0.006283, -1
0.499, 0.000000, 3.147876, 0.006283, -1
0.500, 0.000000, 3.147876, 0.006283, -1
0.501, 0.000000, 3.147876, 0.069115, 6.220353
0.502, 0.000000, 3.147876, 0.094248, 6.195221
0.503, 0.000000, 3.147876, 0.113097, 6.176371
0.504, 0.000000, 3.147876, 0.131947, 6.157522
0.505, 0.000000, 3.147876, 0.144513, 6.144955
0.506, 0.000000, 3.147876, 0.157080, 6.132389
0.507, 0.000000, 3.147876, 0.169646, 6.119822
0.508, 0.000000, 3.147876, 0.182212, 6.107256
0.509, 0.000000, 3.147876, 0.188496, 6.100973
0.510, 0.000000, 3.147876, 0.201062, 6.088407
0.511, 0.000000, 3.147876, 0.213628, 6.075840
0.512, 0.000000, 3.147876, 0.219911, 6.069557
0.513, 0.000000, 3.147876, 0.226195, 6.063274
0.514, 0.000000, 3.147876, 0.238761, 6.050707
0.515, 0.000000, 3.147876, 0.245044, 6.044424
0.516, 0.000000, 3.147876, 0.251327, 6.038141
0.517, 0.000000, 3.147876, 0.257611, 6.031858
0.518, 0.000000, 3.147876, 0.270177, 6.019292
0.519, 0.000000, 3.147876, 0.276460, 6.013008
0.520, 0.000000, 3.147876, 0.282743, 6.006725
0.521, 0.000000, 3.147876, 0.289027, 6.000442
0.522, 0.000000, 3.147876, 0.295310, 5.994159
0.523, 0.000000, 3.147876, 0.301593, 5.987876
0.524, 0.000000, 3.147876, 0.307876, 5.981592
0.525, 0.000000, 3.147876, 0.314159, 5.975309
0.526, 0.000000, 3.147876, 0.320442, 5.969026
0.527, 0.000000, 3.147876, 0.326726, 5.962743
0.528, 0.000000, 3.147876, 0.333009, 5.956460
0.529, 0.000000, 3.147876, 0.333009, 5.956460
0.530, 0.000000, 3.147876, 0.339292, 5.950176
0.531, 0.000000, 3.147876, 0.345575, 5.943893
0.532, 0.000000, 3.147876, 0.351858, 5.937610
0.533, 0.000000, 3.147876, 0.358142, 5.931327
0.534, 0.000000, 3.147876, 0.364425, 5.925044
0.535, 0.000000, 3.147876, 0.364425, 5.925044
0.536, 0.000000, 3.147876, 0.370708, 5.918761
0.537, 0.000000, 3.147876, 0.376991, 5.912477
0.538, 0.000000, 3.147876, 0.383274, 5.906194
0.539, 0.000000, 3.147876, 0.383274, 5.906194
0.540, 0.000000, 3.147876, 0.389557, 5.899911
0.541, 0.000000, 3.147876, 0.395841, 5.893628
0.542, 0.000000, 3.147876, 0.402124, 5.887345
0.543, 0.000000, 3.147876, 0.402124, 5.887345
0.544, 0.000000, 3.147876, 0.408407, 5.881061
0.545, 0.000000, 3.147876, 0.414690, 5.874778
0.546, 0.000000, 3.147876, 0.414690, 5.874778
